Name	Description	Place Of Origin	Region	Link
Tokoloshe	Little demonic man that kills if you are out of reach of the creature	Bantu	Africa	https://www.zbrushcentral.com/t/the-tokoloshe/391494
Bennu	Egyptians equivalelant to the phinox. Soul of the sun god Ra. 	Egyptian	Africa	#
Sphinx	Human-headed lioness. Speaks riddles and if answered right will let you pass. If not it attempts to kill you. 	Egyptian	Africa	#
Kirit	"Mixture of a hyena, baboon, and bears. Ferocious carnivore, with large high front shoulders, (4ft) slopping back, nocturnal, can stand on hind legs. Redish hair, long feet and is to scalp people, "	Kenya	Africa	#
Grootslang	"Gaint elephant snake, lives in caves"	South Africain	Africa	#
Inkanyambo	"giant winged eel, swims in storms, big appetite, (eat humans)"	South Africain	Africa	#
Vamp Cat	Posses a man for. Man wastes away and starts acting like a cat (possession) cured by killing and eating another cat. 	Ainu	Asia Pacific	https://www.japanpowered.com/folklore-and-urban-legends/the-vampire-cat-of-nabeshima
Bunyip	"Is a man-eating monster that lives in rivers, lakes, and swamps of Australia. Howls at night and prefers women and children"	Australia	Asia Pacific	https://en.wikipedia.org/wiki/Bunyip
Drop Bear	marsupial attack by dropping from trees and kills travelers	Australia	Asia Pacific	https://mashable.com/article/drop-bear-lane-tamworth-what-are-drop-bears
Yara Ma Yha who	"3ft tall slimy toad creature with suction cup fingers that drain your blood just enough so you pass out. Then they eat you whole, spit you back out then eat you again until you are either digested or one of them."	Australia	Asia Pacific	https://cryptidz.fandom.com/wiki/Yara_Ma_Yha_Who
Xana	"Nymph-like creature, that looks like a beautiful lady/girl. The song causes pure souls to feel beautiful and hear wonderful songs. Unpure souls feel dirty and can be driven insane. "	Australia	Asia Pacific	#
Bohanacen	"Body of bull, head of a lion. Only appears on the China new year but can be scared off by loud noises and fire, (China New Year Firework Tradition?) "	China	Asia Pacific	https://warriorsofmyth.fandom.com/wiki/Bonnacon
Taotie	Bull/ lion body. Has no eyes on its head but two eyes on its shoulders. Mouth with rows of sharp teeth and eats everything that moves. 	China	Asia Pacific	https://www.artstation.com/artwork/3nq12
Baize	"6 horned bull (2 on the head, 4 on the back) with 9 eyes (three on the face, three on one side of the back, three on the other side). Sign of good luck towards emperor"	China	Asia Pacific	https://chimericade.tumblr.com/post/81217499300/i-really-need-to-stop-half-assing-everything-i-do
Diao Si Gui	"hanging victim ghost, long red tongue from mouth"	China	Asia Pacific	https://www.deviantart.com/dread-softly/art/Day-24-Diao-Si-Gui-859537316
Tiangshi	"zombie is a stiff  corpse, steal life force, has to hop around and has arms outstretched"	China	Asia Pacific	https://warriorsofmyth.fandom.com/wiki/Jiangshi
Nian Shov	"ga nbvint from with immortality eats humans comes if traditions not kept. Body of a bull, and the head of a lion. Only appears on the China new year but can be scared off by loud noises and fire, (China New Year Firework Tradition?) "	China	Asia Pacific	https://www.thatsqingdao.com/China-new-year-history-legend-nian/
Qilin	"Cloven hooved, bull/horse/deer body, China dragon head. Antlers of a deer. It appears to signify the birth or death of a significant leader. It is a good luck charm. "	China	Asia Pacific	#
Pixiu	"Winged lions, Eats precious metals, One horned=male=wealth, protector of wealth; two horned=Protecters of Fengi-shu practicers, "	China	Asia Pacific	#
Huli jing	Fox spirit that can take many shapes and has many powers. Can be good or bad depending on its form.	China	Asia Pacific	#
Fenghuang	"Feng- male, Huang- Female. Later combined and considered the king of birds and now the race of Fenghuang is where the Male has 5/3 tail feathers and the female has 2 tail feathers."	China	Asia Pacific	#
Sanzuniao	"three legged bird. Ten of these birds hold up the sun. Ravens or crow block out the sky at night. And like to eat the grass of immortality Self, and Chunsheng. "	China	Asia Pacific	#
Samjokgo	Basically a Sanzuniao that has a particular name�	China	Asia Pacific	#
Baby Tree? (Waq Waq)	"A tree that grows babies.... "????????????" If they would eat babies from this tree they become immortal "	China	Asia Pacific	#
Uchchaihshravas	7 headed horse that can fly. 	India	Asia Pacific	#
Airavata	Winged flying white elephants. Carries deity Indra	India	Asia Pacific	#
Churel	"feet backward, black long tongue, drains youth, semen, blood, fertility, Ghost of childbirth of women who died."	India	Asia Pacific	#
Preta	cursed people eat unusual substances corpses or feces etc. 	India	Asia Pacific	#
Garuda	"Bird that has a golden body, bright white face, wings are red and wings of an Eagle. Crown on his head. "	Indonesia	Asia Pacific	#
